epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.1066,1.69322,1.66206,1.4813,0.01551,0.34685,0.01049,0.00527,2.01935,inf,2.82789,0.00052,0.00052,0.00052
2,44.6368,1.59253,1.14429,1.4278,0.00278,0.06757,0.00154,0.00069,3.36599,inf,303.288,0.00105475,0.00105475,0.00105475
3,59.1429,1.5822,1.21953,1.39898,0.00249,0.01802,0.00127,0.00035,5.04439,inf,1191.15,0.00158416,0.00158416,0.00158416
4,72.3311,1.71962,1.21606,1.46937,0.00599,0.14414,0.00349,0.00097,3.28251,inf,17.682,0.0019703,0.0019703,0.0019703
5,85.8951,1.67137,1.38409,1.49233,0.01037,0.25225,0.00649,0.00278,2.26995,inf,2.72189,0.0019604,0.0019604,0.0019604
6,100.289,1.63832,1.23112,1.5009,0.62358,0.4955,0.52249,0.25253,3.15226,2.74339,3.58728,0.0019505,0.0019505,0.0019505
7,116.399,1.58984,1.13268,1.42626,0.67373,0.4837,0.51442,0.22435,2.39832,1.9015,2.68531,0.0019406,0.0019406,0.0019406
8,131.083,1.47853,1.05704,1.38415,0.49474,0.58559,0.45077,0.194,1.99077,1.92095,2.30288,0.0019307,0.0019307,0.0019307
9,144.662,1.46699,0.99484,1.35437,0.72119,0.54762,0.6264,0.27737,2.10345,1.46455,2.24749,0.0019208,0.0019208,0.0019208
10,160.036,1.43718,0.94378,1.34313,0.67211,0.64414,0.62224,0.28146,1.82646,1.93737,1.96559,0.0019109,0.0019109,0.0019109
11,175.481,1.398,0.94977,1.30682,0.55488,0.56152,0.52291,0.22804,2.05476,1.56156,2.20897,0.001901,0.001901,0.001901
12,190.169,1.42893,0.94048,1.331,0.67341,0.67117,0.66897,0.33232,1.65346,1.63115,1.87807,0.0018911,0.0018911,0.0018911
13,206,1.3873,0.90511,1.3119,0.7949,0.71171,0.75781,0.33928,1.74157,1.26883,1.84736,0.0018812,0.0018812,0.0018812
14,221.776,1.33137,0.83563,1.24619,0.80097,0.66216,0.7011,0.30053,1.99938,1.29776,2.14958,0.0018713,0.0018713,0.0018713
15,236.457,1.32347,0.85767,1.28428,0.74038,0.73874,0.78253,0.31157,2.19442,1.67138,2.4857,0.0018614,0.0018614,0.0018614
16,251.034,1.33322,0.85909,1.27024,0.76404,0.71171,0.76508,0.29775,1.97504,1.30565,2.0606,0.0018515,0.0018515,0.0018515
17,265.858,1.33009,0.81788,1.26444,0.82243,0.73423,0.8272,0.37279,1.8893,1.0792,1.91222,0.0018416,0.0018416,0.0018416
18,282.177,1.28198,0.82444,1.25731,0.76706,0.78614,0.82546,0.36477,1.73774,1.07033,1.79234,0.0018317,0.0018317,0.0018317
19,296.999,1.25298,0.79627,1.22776,0.86628,0.77477,0.844,0.38708,1.60975,0.90307,1.78678,0.0018218,0.0018218,0.0018218
20,312.275,1.25546,0.8069,1.21057,0.76,0.65618,0.74094,0.36784,1.95184,1.8116,2.23773,0.0018119,0.0018119,0.0018119
21,325.911,1.30035,0.80151,1.25372,0.77701,0.69064,0.78207,0.39739,1.737,1.37473,1.97114,0.001802,0.001802,0.001802
22,340.812,1.25175,0.77879,1.22186,0.84593,0.74775,0.82108,0.41537,1.72073,1.10105,1.85761,0.0017921,0.0017921,0.0017921
23,356.645,1.27515,0.80039,1.24205,0.82107,0.7027,0.78827,0.35844,1.78788,1.1522,1.99147,0.0017822,0.0017822,0.0017822
24,371.273,1.25177,0.75717,1.20529,0.76823,0.71622,0.78428,0.3605,1.72401,1.07563,1.80401,0.0017723,0.0017723,0.0017723
25,385.361,1.18199,0.71292,1.1872,0.89508,0.76577,0.85755,0.40969,1.62213,0.96573,1.79105,0.0017624,0.0017624,0.0017624
26,398.835,1.15908,0.67329,1.1799,0.8507,0.76999,0.86343,0.45372,1.61546,0.95227,1.82939,0.0017525,0.0017525,0.0017525
27,413.724,1.24174,0.7185,1.2054,0.83887,0.82079,0.88373,0.49169,1.44373,0.87701,1.7071,0.0017426,0.0017426,0.0017426
28,429.087,1.16822,0.67563,1.18414,0.84395,0.83784,0.87902,0.45288,1.56626,0.86319,1.72017,0.0017327,0.0017327,0.0017327
29,443.767,1.18662,0.66282,1.15488,0.81584,0.85806,0.90238,0.48501,1.4133,0.91456,1.6313,0.0017228,0.0017228,0.0017228
30,458.412,1.19066,0.68552,1.21154,0.86307,0.77027,0.87051,0.44705,1.62773,1.01092,1.83224,0.0017129,0.0017129,0.0017129
31,472.487,1.18054,0.69212,1.20793,0.81489,0.70721,0.78973,0.36948,1.78674,1.22204,1.95402,0.001703,0.001703,0.001703
32,486.02,1.22209,0.70909,1.21135,0.82486,0.72523,0.80229,0.36722,1.83383,1.07972,2.11075,0.0016931,0.0016931,0.0016931
33,500.148,1.16218,0.66327,1.17243,0.8391,0.75174,0.84464,0.39046,1.77394,1.00158,1.92289,0.0016832,0.0016832,0.0016832
34,514.825,1.20885,0.70179,1.16928,0.83945,0.77477,0.83687,0.40497,1.70552,0.94468,1.79182,0.0016733,0.0016733,0.0016733
35,529.604,1.12461,0.65245,1.17989,0.8049,0.72072,0.82092,0.42302,1.58355,0.95266,1.79636,0.0016634,0.0016634,0.0016634
36,543.964,1.14027,0.64043,1.14984,0.8573,0.76126,0.84411,0.42609,1.58431,0.98467,1.77906,0.0016535,0.0016535,0.0016535
37,557.548,1.10821,0.62631,1.1416,0.85556,0.83784,0.87891,0.46965,1.52685,0.85019,1.70661,0.0016436,0.0016436,0.0016436
38,573.663,1.15267,0.66125,1.16188,0.84644,0.77477,0.82308,0.41048,1.58531,0.92437,1.71944,0.0016337,0.0016337,0.0016337
39,588.35,1.11958,0.65048,1.15737,0.86929,0.72973,0.81946,0.38893,1.89754,1.05828,2.01126,0.0016238,0.0016238,0.0016238
40,602.749,1.15733,0.62544,1.1687,0.81724,0.68919,0.78191,0.37284,1.66825,1.12204,1.80946,0.0016139,0.0016139,0.0016139
41,616.556,1.14701,0.62146,1.13929,0.87507,0.74775,0.84136,0.41196,1.77763,0.92477,1.91914,0.001604,0.001604,0.001604
42,630.317,1.12212,0.63723,1.13909,0.91169,0.74405,0.84476,0.40542,1.7758,1.02732,1.90906,0.0015941,0.0015941,0.0015941
43,644.672,1.08368,0.6206,1.12834,0.83662,0.80735,0.8498,0.43564,1.76474,0.99302,1.98121,0.0015842,0.0015842,0.0015842
44,659.511,1.11368,0.61642,1.12801,0.78028,0.75185,0.80863,0.39416,1.7073,1.2033,1.8009,0.0015743,0.0015743,0.0015743
45,674.185,1.11092,0.61647,1.13266,0.81035,0.7027,0.79204,0.37304,1.63521,1.06977,1.82216,0.0015644,0.0015644,0.0015644
46,687.261,1.09646,0.62479,1.13205,0.76846,0.59009,0.67357,0.29388,1.82412,1.84853,1.90429,0.0015545,0.0015545,0.0015545
47,701.008,1.07561,0.61912,1.12494,0.85539,0.71622,0.7887,0.38265,1.70197,1.01137,1.90034,0.0015446,0.0015446,0.0015446
48,715.98,1.07412,0.60335,1.13797,0.85986,0.77477,0.83515,0.41397,1.66165,1.07292,1.94311,0.0015347,0.0015347,0.0015347
49,730.428,1.09533,0.64559,1.13049,0.85922,0.82479,0.88668,0.448,1.58368,0.92358,1.75069,0.0015248,0.0015248,0.0015248
50,744.857,1.05621,0.62098,1.12319,0.8609,0.8364,0.87717,0.4232,1.75135,0.95473,1.8718,0.0015149,0.0015149,0.0015149
51,758.179,1.07301,0.59421,1.11817,0.81655,0.65766,0.75427,0.34954,1.7172,1.22524,1.87329,0.001505,0.001505,0.001505
52,772.188,1.08165,0.60575,1.13153,0.80579,0.77928,0.82068,0.38565,1.73912,1.02135,1.96183,0.0014951,0.0014951,0.0014951
53,786.591,1.03026,0.55343,1.10126,0.86291,0.76126,0.85617,0.40423,1.65136,0.95733,1.81637,0.0014852,0.0014852,0.0014852
54,801.556,1.04502,0.58141,1.11501,0.84859,0.68163,0.79503,0.4058,1.59772,0.93539,1.71895,0.0014753,0.0014753,0.0014753
55,815.991,1.0628,0.58493,1.11398,0.84511,0.81532,0.86285,0.49909,1.44392,0.87099,1.7644,0.0014654,0.0014654,0.0014654
56,831.062,1.04448,0.57262,1.12923,0.84358,0.80165,0.86137,0.39842,1.73008,1.02627,1.97006,0.0014555,0.0014555,0.0014555
57,844.997,1.02001,0.56773,1.10004,0.86581,0.75676,0.81994,0.39362,1.67458,1.23328,1.84244,0.0014456,0.0014456,0.0014456
58,859.539,1.04792,0.57523,1.11839,0.85083,0.74324,0.84042,0.43009,1.53893,1.14109,1.73005,0.0014357,0.0014357,0.0014357
59,874.234,1.01752,0.55494,1.08722,0.86261,0.73535,0.82483,0.37159,1.74356,1.13239,1.94861,0.0014258,0.0014258,0.0014258
60,889.702,1.0304,0.54891,1.09966,0.88492,0.72743,0.8259,0.36939,1.71496,1.21944,1.85989,0.0014159,0.0014159,0.0014159
61,904.215,1.04635,0.54444,1.10995,0.88467,0.79279,0.87215,0.37069,1.79691,0.96107,2.05841,0.001406,0.001406,0.001406
62,917.931,1.02378,0.54998,1.11368,0.88639,0.84348,0.89446,0.45493,1.61591,0.7773,1.84176,0.0013961,0.0013961,0.0013961
63,932.946,0.9744,0.52236,1.07301,0.84026,0.87668,0.90357,0.47406,1.53854,0.89963,1.79538,0.0013862,0.0013862,0.0013862
64,948.584,0.99626,0.55186,1.0924,0.88599,0.80509,0.8986,0.46474,1.49181,0.80762,1.73285,0.0013763,0.0013763,0.0013763
65,964.609,0.9907,0.54263,1.07197,0.88311,0.75676,0.84871,0.40947,1.70221,0.90524,1.86853,0.0013664,0.0013664,0.0013664
66,978.805,0.984,0.52737,1.08385,0.88231,0.79279,0.86277,0.44212,1.56134,0.80873,1.77321,0.0013565,0.0013565,0.0013565
67,993.346,1.02991,0.55345,1.06946,0.91115,0.69291,0.80066,0.33352,2.0723,1.10889,2.29613,0.0013466,0.0013466,0.0013466
68,1008.93,1.03714,0.54807,1.09614,0.85051,0.76126,0.82122,0.39669,1.72954,1.11522,1.90193,0.0013367,0.0013367,0.0013367
69,1024.68,0.99931,0.53438,1.06789,0.91634,0.78946,0.87419,0.44947,1.63722,1.02386,1.93759,0.0013268,0.0013268,0.0013268
70,1040.79,0.92679,0.50343,1.06029,0.9043,0.76126,0.83425,0.38506,1.71264,1.07086,2.03921,0.0013169,0.0013169,0.0013169
71,1056.01,0.94572,0.4874,1.04103,0.90515,0.77377,0.84268,0.42667,1.66172,0.94115,1.97549,0.001307,0.001307,0.001307
72,1070.38,0.94883,0.51307,1.05396,0.90999,0.72973,0.83665,0.43614,1.55544,0.86707,1.78935,0.0012971,0.0012971,0.0012971
73,1085.68,0.96861,0.5136,1.06027,0.82961,0.74569,0.81496,0.36258,1.78488,1.01609,1.98556,0.0012872,0.0012872,0.0012872
74,1101.08,0.95658,0.49465,1.05256,0.90736,0.75005,0.85098,0.41483,1.70711,0.94392,1.92377,0.0012773,0.0012773,0.0012773
75,1117.15,0.93023,0.49644,1.03844,0.88406,0.74324,0.84922,0.40581,1.66001,1.01618,1.88997,0.0012674,0.0012674,0.0012674
76,1132.33,0.92715,0.49159,1.04325,0.85128,0.81532,0.87474,0.45228,1.68723,0.87193,1.97708,0.0012575,0.0012575,0.0012575
77,1146.49,0.95242,0.49996,1.06175,0.89097,0.80631,0.8808,0.44143,1.68573,0.82052,1.94747,0.0012476,0.0012476,0.0012476
78,1160.95,0.94218,0.49884,1.0641,0.85828,0.81081,0.87082,0.43776,1.54434,0.88223,1.79291,0.0012377,0.0012377,0.0012377
79,1176.54,0.95037,0.50374,1.0512,0.8872,0.81486,0.89017,0.4626,1.61911,0.8116,1.90084,0.0012278,0.0012278,0.0012278
80,1192.36,0.90805,0.47947,1.03828,0.80804,0.84685,0.85444,0.41041,1.66955,0.87659,1.88952,0.0012179,0.0012179,0.0012179
81,1208.03,0.90917,0.47812,1.0369,0.89044,0.84206,0.90189,0.44732,1.65073,0.7904,1.86818,0.001208,0.001208,0.001208
